text,category,sentiment
I can't talk with  a human agent,Technical Support,Neutral
I have got to locate hte bills from {{Person Name}},Billing,Neutral
"I cannot pay, help me to inform of a problem with payments",Billing,Negative
I want help speaking to customer service,Technical Support,Positive
I try to see th accepted payment options,Billing,Positive
where to sign up to the company nmewsletter,Technical Support,Neutral
I'd like to see the withdrwaal fee how can i do it,Technical Support,Positive
I want to speak with someone,Technical Support,Positive
can you help me getting bill #85632?,Billing,Positive
I don't know how to take a quick look at invoice #12588,Billing,Neutral
I don't know how to delete my platinum account,Account Access,Neutral
help me check in what cases can I ask to be refunded,Billing,Positive
is it possible to locate my bill from {{Person Name}},Billing,Neutral
i want help to file a consumer claim against ur organization,Technical Support,Positive
uhave a free number to call customer support,Technical Support,Positive
i do not know how i can see the early termination penalties,Technical Support,Neutral
could you help me to unsubscribe to the damn newsletter?,Technical Support,Neutral
I don't know how to inform of problems with a signup,Technical Support,Negative
download bill from {{Person Name}},Billing,Neutral
want assistance receiving a refund of money,Billing,Positive
I don't know how to change to the pro account,Account Access,Neutral
how can i see the status of my subscription to ur newsletter,Technical Support,Neutral
I don't know what I have to do to cancel my {{Account Type}} account,Account Access,Negative
I want help cancelling my subscription to your newsletter,Technical Support,Positive
I'm trying to see what hours i can call customer service,Technical Support,Neutral
need to check what hours i can call customer service,Technical Support,Neutral
I do not know how I can see the withdrawal fee,Technical Support,Neutral
i want help to see when will my item arrive,Product Inquiry,Positive
how do I submit another delivery address?,Product Inquiry,Neutral
"I want to see the cancellation charges, how do I do it?",Technical Support,Negative
I want help to chat with a live agent,Technical Support,Positive
modifying info on platinum account,Account Access,Neutral
"I expect a refund of {{Refund Amount}} dollars, has it been processed?",Billing,Neutral
I don't know how I can download my bill #12588,Billing,Neutral
"I can no longer afford order {{Order Number}}, can I cancel it?",Product Inquiry,Negative
i want help talking with somebody,Technical Support,Positive
i cant edit order {{Order Number}},Product Inquiry,Neutral
I need assistanc canceling the newsletter subscription,Technical Support,Neutral
do uhave a toll-free customer assistance phone number,Technical Support,Positive
is it possible to speak to someone ?,Technical Support,Neutral
assistance checking your reimbursement policy,Billing,Neutral
there is a problem setting up my delivery address,Product Inquiry,Negative
I want help downloading invoice #85632,Billing,Positive
"I want to see how soon can I expect the order, how to do it?",Product Inquiry,Positive
where do i inform of a trouble with payments,Billing,Negative
can you hwlp me talking with a person?,Technical Support,Neutral
I want to open a {{Account Category}} account,Account Access,Positive
I do not know how to download the bills from {{Person Name}},Billing,Neutral
editing data on {{Account Category}} acocunt,Account Access,Neutral
talk to agent,Technical Support,Neutral
need help leaving an opinion for a product,Technical Support,Positive
want help to see the withdrawal charges,Technical Support,Positive
help me seeing in what cases can I request reimbursements,Billing,Positive
where could i check order {{Order Number}} fucking curent status,Product Inquiry,Neutral
want assistance seeing the ETA of purchase {{Order Number}},Product Inquiry,Positive
I don't know what I have to do to close my {{Account Category}} account,Account Access,Neutral
I'm trying to inform of a error with signup,Technical Support,Negative
want help to speak with an person,Technical Support,Positive
"I need to see the cancellation fee, can you help me?",Technical Support,Positive
have a problem with the removal of my {{Account Type}} account,Account Access,Negative
I awnt assistance to locate the bill #00108,Billing,Neutral
"I have to create a platinum account, help me",Account Access,Positive
how to download my bills from {{Person Name}}?,Billing,Neutral
issue submitting a secondary shipping address,Product Inquiry,Neutral
i have errors trying to modify the address,Product Inquiry,Negative
I don't know what I have to do to download my invoice #12588,Billing,Neutral
I don't know what I need to do to remove a standard account,Account Access,Neutral
modifu details on {{Account Category}} account,Account Access,Neutral
"I don't use the goddamn gold account, I want to delete it",Account Access,Positive
what do i need to do to talk to someone,Technical Support,Neutral
i dont know how to inform of a trouble with payment,Billing,Negative
tell me what hours i can get in touch wit customer service,Technical Support,Neutral
help seeing what shipping options you offer,Product Inquiry,Positive
could you help me to file a damn consumer complaint?,Technical Support,Negative
I need to check in which situations can I ask for a refund,Billing,Neutral
wanna check uf refund policy,Billing,Neutral
I want help to get refunds,Billing,Positive
"you are not helpful, help talking to an operator",Technical Support,Negative
I want to see what payment options are availabl,Billing,Positive
I need information about a delivery address update,Product Inquiry,Neutral
create {{Account Type}} accountfor wife,Account Access,Positive
is it possible to place an order from {{Delivery City}},Product Inquiry,Neutral
